auditId,sourceLine,company,country,investmentFirm,sector,status,ownerCount,milestoneCount,sourceCount,proposedTargetCount,priority,score,flags,malformedDates,exactDuplicates,nearDuplicates,lowValueMilestones,recategoryCandidates,missingEntryOwners,missingExitOwners,sourceCoverage,sourceUrls,reviewerDecision,reviewerNotes
m6-midstream__united-states,16596,M6 Midstream,United States,EnCap Investments,Midstream,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/m6-midstream | https://www.momentummidstream.com/ | https://www.momentummidstream.com/about-us | https://www.momentummidstream.com/news/m6-midstream-announces-final-investment-decision-and-completes-two-acquisitions-establish,,
manchester-energy__united-states,16626,Manchester Energy,United States,EnCap Investments,Midstream,Active,1,3,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/manchester-energy | https://manchesterenergy.com/ | https://manchesterenergy.com/about-us/ | https://manchesterenergy.com/news/,,
moda-midstream-ii__united-states,16655,Moda Midstream II,United States,EnCap Investments,Midstream,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/moda-midstream-ii | https://www.modamidstream.com/news/moda-midstream-ii-announces-equity-commitment-encap-flatrock-midstream | https://www.modamidstream.com/about/history | https://www.businesswire.com/news/home/20240116201900/en/Moda-Completes-Sale-of-Vopak-Moda-Houston-Terminal-Interest,,
parliament-energy__united-states,16685,Parliament Energy,United States,EnCap Investments,Power & ET,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/energy-transition/portfolio/current/parliament-energy | https://www.parliamentenergy.com/ | https://www.parliamentenergy.com/portfolio | https://www.businesswire.com/news/home/20230613670192/en/Parliament-Solar-an-EnCap-and-Mercuria-Portfolio-Company-Selects-Ideematec-to-Supply-its-Tracking-System-for-Parliaments-640MW-Texas-Solar-Project,,
quantica-infrastructure__united-states,16715,Quantica Infrastructure,United States,EnCap Investments,Digital,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://quanticainfra.com/ | https://quanticainfra.com/what-we-do/ | https://quanticainfra.com/2025/07/28/encap-investments-lp-launches-quantica-infrastructure-to-deliver-integrated-ai-and-hyperscale-ready-site-infrastructure-across-north-america/ | https://bigskyeconomicdevelopment.org/quantica-infrastructure-introduces-big-sky-digital-infrastructure-as-its-flagship-development-platform-in-montana/,,
rangeland-midstream-canada__canada,16745,Rangeland Midstream Canada,Canada,EnCap Investments,Midstream,Active,1,4,5,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/midstream/portfolio/current/rangeland-energy | https://www.encapinvestments.com/news/rangeland-energy-secures-300-million-growth-equity-commitment-encap-flatrock-midstream | https://www.encapinvestments.com/news/rangeland-midstream-canada-enters-definitive-agreement-sell-clearwater-assets-kingston | https://www.kingstonmidstream.com/kingston-midstream-announces-agreement-to-acquire-rangeland-midstreams-marten-hills-pipeline-in-the-clearwater-play/ | https://rangelandmidstream.ca/past-projects,,
solarproponent__united-states,16776,SolarProponent,United States,EnCap Investments,Power & ET,Active,1,3,5,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/about/energy-transition/portfolio/current/solarproponent | https://www.encapinvestments.com/news/solar-proponent-llc-forms-majority-investment-backing-encap-investments-lp | https://www.solarproponent.com/ | https://www.solarproponent.com/projects/ | https://www.encapinvestments.com/news/solar-proponent-reaches-10-million-interconnection-agreement-milestone,,
vecino-energy__united-states,16806,Vecino Energy,United States,EnCap Investments,Midstream,Active,1,3,4,current 2-5 target,none,0,,,,,,,,,,https://www.encapinvestments.com/news/vecino-energy-receives-200-million-equity-commitment-encap-flatrock-midstream | https://vecinoenergy.com/ | https://vecinoenergy.com/news/ | https://www.businesswire.com/news/home/20250121015352/en/Vecino-Energy-and-DRW-Energy-Trading-Announce-Agreement-to-Develop-and-Anchor-South-Texas-Salt-Dome-Storage-Project-With-Connectivity-to-Agua-Dulce,,
arcwood-environmental__united-states,16835,Arcwood Environmental,United States,EQT Infrastructure,Utilities,Active,1,4,4,current 2-5 target,none,0,,,,,,,,,,https://arcwoodenviro.com/ | https://eqtgroup.com/en/about/current-portfolio/arcwood-environmental | https://www.lw.com/en/news/latham-advises-on-financing-for-eqt-heritage-environmental-acquisition-of-ebv-from-general-dynamics | https://arcwoodenviro.com/news/heritage-environmental-services-rebrands-to-arcwood-environmental/,,
cirba-solutions__united-states,16865,Cirba Solutions,United States,EQT Infrastructure,Power & ET,Active,1,2,3,current 2-5 target,none,0,,,,,,,,,,https://www.cirbasolutions.com/ | https://eqtgroup.com/about/current-portfolio/cirba-solutions | https://www.cirbasolutions.com/cirba-solutions-secures-over-200-million-investment-to-grow/,,
