deal_id,legacy_id,date,target,deal_status,closing_date,categories,region,country,classification,confidence,recommended_treatment,direct_company_ids,direct_company_names,target_company_ids,target_company_names,platform_company_ids,platform_company_names,source_candidate_company_ids,source_candidate_company_names,all_supported_company_ids,all_supported_company_names,supporting_source_urls,ambiguity_reasons,classification_reason,snapshot_sha256
cmrv5v8uc001zh8hehqzj4q74,INF-2026-218,2026-05-13T15:00:00.000Z,QScale,CLOSED,,ACQUISITION_BUYOUT,NORTH_AMERICA,Canada,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,j26_company_fe4cf36a788124433c81e91c,QScale,j26_company_fe4cf36a788124433c81e91c,QScale,,,j26_company_fe4cf36a788124433c81e91c,QScale,j26_company_fe4cf36a788124433c81e91c,QScale,https://am.gs.com/en-us/advisors/news/press-release/2026/goldman-sachs-alternatives-acquire-qscale,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,bbfd3a72b6e6a9f7d2899171a4ecec4e34dd07c919ea012cf8a8fe199825ffca
cmrv5vba50033h8heeygr0tc5,INF-2026-221,2026-05-15T13:00:00.000Z,Verene Energia S.A.,ANNOUNCED,,JOINT_VENTURE,LATIN_AMERICA,Brazil,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",7152d88c48a54931fe0288e4e4379d81787a4184fca78ad0f385423fb18b7bc6
cmrv5vbo4003ah8hex5vg3d9a,INF-2026-222,2026-05-15T14:00:00.000Z,Caturus / Commonwealth LNG,CLOSED,2026-05-15T14:00:00.000Z,PLATFORM_LAUNCH,NORTH_AMERICA,United States,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,cmoqc056t00p9171fz56fldhu; cmnva0yoj00xum8lzwg8dmzod; cmnva0rsz00m6m8lzkjjqwuws,Caturus; Caturus Energy; Commonwealth LNG,cmoqc056t00p9171fz56fldhu; cmnva0rsz00m6m8lzkjjqwuws,Caturus; Commonwealth LNG,,,cmoqc056t00p9171fz56fldhu; cmnva0yoj00xum8lzwg8dmzod; cmnva0rsz00m6m8lzkjjqwuws,Caturus; Caturus Energy; Commonwealth LNG,cmoqc056t00p9171fz56fldhu; cmnva0yoj00xum8lzwg8dmzod; cmnva0rsz00m6m8lzkjjqwuws,Caturus; Caturus Energy; Commonwealth LNG,https://mubadalaenergy.com/news/mubadala-energy-kimmeridge-and-cpp-investments-announce-final-investment-decision-for-caturus-commonwealth-lng-investment-in-the-u-s/,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,5f7bfbdd9787f17ace5865e5540c517dd6bc99f0074874610136c1a705d62b71
cmrv5vaml002rh8heq6fiqbx8,INF-2026-223,2026-05-15T15:00:00.000Z,International Aerospace Coatings,CLOSED,2026-05-15T15:00:00.000Z,ACQUISITION_BUYOUT; SALE_BUYOUT,NORTH_AMERICA,United States / Ireland,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",eaea62d997904d0c55421dbf731eb3aa5688a721635fd5f680f530a348778c3e
cmrv5vge20058h8hen3za3d21,WB-2026-05-16-014,2026-05-20T01:00:00.000Z,Information Services Corporation,CLOSED,2026-07-07T01:00:00.000Z,ACQUISITION_BUYOUT,NORTH_AMERICA,Canada,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,cmnva0yc800x8m8lziecgny4n,Plenary Americas,,,,,cmnva0yc800x8m8lziecgny4n,Plenary Americas,cmnva0yc800x8m8lziecgny4n,Plenary Americas,https://investors.isc.ca/news-releases/news-release-details/isc-and-plenary-americas-announce-completion-transaction; https://isc.gcs-web.com/news-releases/news-release-details/isc-be-acquired-plenary-americas-all-cash-transaction,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,a92e7f4dee8b4953c5a0db6a60604719bba9a61de3609a5014789f442293c6e7
cmrv5vcfc003mh8helx4kpba8,WB-2026-05-16-001,2026-05-22T12:00:00.000Z,Casa dos Ventos Renewable-Power Assets,ANNOUNCED,,JOINT_VENTURE,LATIN_AMERICA,Brazil,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",4bb80f2cb192a1c74ed3c854b329cc4d7d9015b5708bfc0b8ed2becaafe8bc66
cmrv5vcph003rh8he5fuehi9i,WB-2026-05-16-002,2026-05-22T13:00:00.000Z,North Star Renewable Energy Platform,ANNOUNCED,,PLATFORM_LAUNCH,ASIA_PACIFIC,India,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",49a16b4666d97d650be601ad0fd51ae1664dc28d2361d987afac44cf518575c0
cmrv5vd0m003vh8he06ccb26d,WB-2026-05-16-003,2026-05-22T14:00:00.000Z,FirstLight U.S. Clean-Power Portfolio,ANNOUNCED,,SALE_BUYOUT,NORTH_AMERICA,United States,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,j26_company_bcd1f35b4a1ce073069566e1,"FirstLight USA, LLC",,,,,j26_company_bcd1f35b4a1ce073069566e1,"FirstLight USA, LLC",j26_company_bcd1f35b4a1ce073069566e1,"FirstLight USA, LLC",https://www.investpsp.com/en/news/psp-investments-announces-sale-of-firstlights-us-portfolio-to-hull-street-energy; https://www.prnewswire.com/news-releases/hull-street-energy-to-acquire-firstlights-us-generation-fleet-scaling-the-firms-hydro-footprint-302776103.html,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,9477180f0462b46dc7454a63be2b5ca3c2d503d5fc2009e778a9424c62c59a28
cmrv5vded0040h8he5hv710p3,WB-2026-05-16-004,2026-05-22T15:00:00.000Z,Birdseye Battery Storage Project,ANNOUNCED,,ACQUISITION_BOLT_ON,NORTH_AMERICA,United States,DIRECT_DEAL_COMPANY_CITATION,HIGH,VERIFY_LINKED_COMPANY_CARD,cmnva128m0145m8lzcd4okvua,GridStor,,,cmnva128m0145m8lzcd4okvua,GridStor,cmnva128m0145m8lzcd4okvua,GridStor,cmnva128m0145m8lzcd4okvua,GridStor,https://gridstor.com/gridstor-acquires-colorado-battery-energy-storage-project-from-accelergen/,,At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.,eb1ffc8cd1ffb8a306c9a75fb48cc3718fdd03aa3409b5f621a5ad57b34f7dde
cmrv5vdmq0044h8he4jl8cq5n,WB-2026-05-16-005,2026-05-22T16:00:00.000Z,132 MW Saxony Onshore Wind Portfolio,ANNOUNCED,,ACQUISITION_BUYOUT,EUROPE,Germany,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",78ba7750d84cf9916b80509a8dbc58b65de582c4a0e49de3c283537b8398526a
cmrv5vdxs0048h8heijdj70uo,WB-2026-05-16-006,2026-05-22T17:00:00.000Z,Barrow Green Hydrogen Project,ANNOUNCED,,JOINT_VENTURE,EUROPE,United Kingdom,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",ecfa2db9227c59c8215892ee8c8e42a2ec4d9d1499f90705f28c74d21566bb44
cmrv5ve83004ch8hefctk9h7g,WB-2026-05-16-007,2026-05-22T18:00:00.000Z,APF Energy,ANNOUNCED,,ACQUISITION_BUYOUT,EUROPE,Netherlands,NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP,NONE,NO_EXISTING_COMPANY_ACTION,,,,,,,,,,,,,"No direct citation, deterministic target match, explicit platform signal, or shared company source was found.",f087ea77ac5570c8730d37581f9ee25123c1b1bd0f5f683e96b2430f9c6e39f9
